Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
CIC0007,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,,2,2,1,1,0,0,0,0,0,2
POL0011,INTRODUÇÃO À CIÊNCIA POLÍTICA,,3,5,1,0,0,0,0,0,0,1
CCA0103,INTRODUÇÃO À CONTABILIDADE,,3,5,0,1,0,0,0,0,4,5
ECO0019,INTRODUÇÃO À ECONOMIA,,8,11,2,0,0,0,0,0,7,9
FGA0163,INTRODUÇÃO À ENGENHARIA,,2,14,5,0,0,2,0,0,2,9
FIL0069,INTRODUÇÃO À FILOSOFIA,,2,2,1,0,0,0,0,0,0,1
LIP0045,INTRODUÇÃO À LINGUÍSTICA,,1,1,0,0,0,0,0,0,1,1
MUS0540,INTRODUCAO AO CONTRABAIXO 1,,1,1,0,0,0,0,0,0,0,0
CIC0191,INTRODUÇÃO AO DESENVOLVIMENTO DE JOGOS,,1,4,0,2,0,1,0,0,0,3
FDD0006,INTRODUÇÃO AO DIREITO 1,,2,2,1,0,0,0,0,0,0,1
HIS0084,INTRODUÇÃO AO ESTUDO DA HISTÓRIA,,1,1,0,0,0,0,0,0,0,0
IRI0013,INTRODUÇÃO AO ESTUDO DAS RELAÇÕES INTERNACIONAIS,,1,1,0,0,0,0,0,0,0,0
MUS0564,INTRODUÇÃO AO SAXOFONE 2,,1,1,0,0,0,0,0,0,0,0
EST0069,INTRODUCAO A PROBABILIDADE,,1,1,0,0,0,1,0,0,0,1
PPB0014,INTRODUÇÃO À PSICOLOGIA,,3,3,0,0,0,1,0,0,0,1
CIC0190,INTRODUÇÃO A SISTEMAS MULTIAGENTE,,1,1,0,0,0,0,0,0,0,0
SOL0042,INTRODUÇÃO À SOCIOLOGIA,,4,5,1,0,0,0,0,0,1,2
LET0074,JAPONES 2,,1,1,0,0,0,0,0,0,0,0
MUS0087,LABORATÓRIO DE MÚSICA E TECNOLOGIA,,1,1,0,0,0,1,0,0,0,1
LIP0061,LATIM 1,,1,1,0,0,0,0,0,0,0,0
FUP0129,LÍNGUA BRASILEIRA DE SINAIS 1,,1,1,0,0,0,0,0,0,0,0
LET0378,LINGUA CHINESA 3,,1,1,0,0,0,0,0,0,0,0
LIP0174,LÍNGUA DE SINAIS BRASILEIRA - BÁSICO,,4,4,0,1,0,0,0,0,1,2
COM0132,LINGUAGENS DA COMUNICAÇÃO 2,,1,1,0,0,0,0,0,0,0,0
CIC0093,LINGUAGENS DE PROGRAMACAO,,1,1,0,0,0,0,0,0,0,0
CCA0003,MANAGEMENT ACCOUNTING AND CONTROL SYSTEMS,,1,1,1,0,0,0,0,0,0,1
FGA0085,MATEMÁTICA DISCRETA 1,,2,212,5,92,0,7,0,0,11,115
FGA0108,MATEMÁTICA DISCRETA 2,,2,129,7,36,0,1,0,0,14,58
IFD0069,MECÂNICA,,1,1,0,1,0,0,0,0,0,1
FGA0154,MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,,3,6,0,0,0,1,0,0,1,2
GPP0009,METODOLOGIA DE PESQUISA APLICADA À GPP,,1,1,0,0,0,0,0,0,0,0
FGA0312,MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,,3,187,4,16,0,1,0,0,7,28
FGA0188,MÉTODOS EXPERIMENTAIS PARA ENGENHARIA,,1,2,0,1,0,0,0,0,0,1
FGA0160,MÉTODOS NUMÉRICOS PARA ENGENHARIA,,3,144,5,17,0,4,0,0,22,48
CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,1,2,0,0,0,1,0,0,1,2
FGA0090,ONDULATÓRIA E FÍSICA TÉRMICA PARA ENGENHARIA,,1,2,0,0,0,1,0,0,0,1
FGA0158,ORIENTAÇÃO A OBJETOS,,4,172,7,21,0,3,0,0,12,43
FGA0210,PARADIGMAS DE PROGRAMAÇÃO,,1,125,5,41,0,3,0,0,7,56
FCTE0002,PARADIGMAS DE SOLUÇÃO DE PROBLEMAS,,1,49,1,13,0,1,0,0,18,33
CEM0117,PENSAMENTO LGBT BRASILEIRO,,1,1,0,0,0,0,0,0,0,0
FGA0069,PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,,2,6,0,0,0,0,0,0,2,2
FGA0071,PRÁTICA DE ELETRÔNICA DIGITAL 1,,10,139,7,4,0,5,0,0,6,22
FGA0072,PRÁTICA DE ELETRÔNICA DIGITAL 2,,2,2,0,0,0,0,0,0,0,0
FEF0105,PRÁTICA DESPORTIVA,,2,2,0,0,0,0,0,0,1,1
LET0075,PRATICA DO JAPONES ORAL E ESCRITO 2,,1,1,0,0,0,0,0,0,0,0
EST0023,PROBABILIDADE E ESTATÍSTICA,,4,9,0,2,0,1,0,0,2,5
FGA0157,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,,2,75,5,4,0,1,0,0,2,12
FGA0244,PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS,,2,121,4,16,0,6,0,0,13,39
FGA0198,PROJETO COM CIRCUITOS RECONFIGURAVEIS,,1,1,0,0,0,0,0,0,0,0
FGA0124,PROJETO DE ALGORITMOS,,1,128,0,2,0,4,0,0,3,9
CIC0189,PROJETO E ANÁLISE DE ALGORITMOS,,1,1,0,0,0,0,0,0,0,0
FGA0303,PROJETO INTEGRADOR DE ENGENHARIA 1,,5,144,3,2,0,0,0,0,11,16
