Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
ADM0092,ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES,,1,1,0,0,0,0,0,0,0,0
MAT0034,ALGEBRA 1,,1,1,0,0,0,0,0,0,0,0
CIC0004,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES,,6,94,7,22,0,13,0,0,3,45
MAT0045,ANALISE 1,,1,1,0,0,0,1,0,0,0,1
CEM0136,A ORIGEM DA VIDA,,1,1,0,0,0,0,0,0,0,0
FEF0279,APRENDIZAGEM E DESENVOLVIMENTO MOTOR,,1,1,0,0,0,0,0,0,1,1
CEM0023,APRENDIZAGEM E DESENVOLVIMENTO MOTOR HUMANO 2,,1,2,0,0,0,0,0,0,0,0
PPB0067,APRENDIZAGEM NO ENSINO,,1,1,0,0,0,1,0,0,0,1
FGA0208,ARQUITETURA E DESENHO DE SOFTWARE,,1,129,0,0,0,3,0,0,2,5
MAT0025,CÁLCULO 1,,5,107,8,32,0,14,0,0,6,60
MAT0137,CÁLCULO 1 - SEMIPRESENCIAL,,4,7,0,4,0,0,0,0,0,4
MAT0026,CÁLCULO 2,,7,262,5,42,0,6,0,0,15,68
MAT0027,CÁLCULO 3,,4,22,0,7,0,0,0,0,3,10
MAT0075,CALCULO DE PROBABILIDADE 1,,1,1,0,0,0,1,0,0,0,1
ADM0192,CALCULO FINANCEIRO,,1,1,0,0,0,0,0,0,0,0
MAT0053,CALCULO NUMERICO,,2,4,0,0,0,2,0,0,1,3
MUS0139,CANTO CORAL 1,,2,2,0,0,0,0,0,0,0,0
FGA0254,CIÊNCIAS AEROESPACIAIS,,1,2,0,1,0,0,0,0,1,2
CEL0089,CITOLOGIA,,1,1,0,0,0,0,0,0,1,1
FGA0003,COMPILADORES 1,,1,129,3,40,0,4,0,0,10,57
ENE0334,COMPUTACAO PARA ENGENHARIA,,1,1,0,0,0,1,0,0,0,1
CCA0015,CONTABILIDADE GERAL 1,,1,1,0,0,0,0,0,0,0,0
CEM0143,CRIATIVIDADE NA TEORIA E NA PRÁTICA,,1,1,0,0,0,0,0,0,0,0
FMD0586,CUIDADOS PALIATIVOS,,1,1,0,0,0,1,0,0,0,1
VIS0063,DESENHO 1,,1,2,0,0,0,0,0,0,0,0
FGA0168,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,,6,52,5,7,0,3,0,0,10,25
FGA0084,DESENVOLVIMENTO DE SOFTWARE,,1,61,2,1,0,0,0,0,5,8
FGA0230,DINÂMICA DE VEÍCULOS,,1,1,0,0,0,0,0,0,1,1
FGA0043,DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS,,1,1,0,0,0,0,0,0,0,0
CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,,1,2,0,1,0,0,0,0,0,1
ECL0039,ECOLOGIA BÁSICA,,1,1,0,0,0,0,0,0,0,0
FGA0265,ECONOMIA DE ENERGIA,,1,12,1,2,0,1,0,0,3,7
FGA0166,ELEMENTOS E MÉTODOS EM ELETRÔNICA,,1,5,0,0,0,0,0,0,0,0
FGA0096,ELETRÔNICA EMBARCADA,,1,1,0,0,0,0,0,0,0,0
FGA0284,ENGENHARIA DE MANUTENÇÃO,,1,1,0,0,0,0,0,0,1,1
FGA0316,ENGENHARIA DE PRODUTO DE SOFTWARE,,2,67,0,7,0,0,0,0,4,11
FGA0148,ENGENHARIA DE SEGURANÇA DO TRABALHO,,2,122,1,10,0,0,0,0,8,19
FGA0131,ENGENHARIA DE SOFTWARE AUTOMOTIVO,,1,5,0,2,0,0,0,0,2,4
FGA0302,ENGENHARIA E AMBIENTE,,3,25,1,2,0,1,0,0,5,9
EPR0064,ENGENHARIA ECONÔMICA,,1,1,0,1,0,0,0,0,0,1
FGA0133,ENGENHARIA ECONÔMICA,,2,183,10,48,0,6,0,0,5,69
FMD0578,ENSINO DE MEDICINA,,1,1,0,0,0,1,0,0,0,1
EST0019,ESTATÍSTICA APLICADA,,1,1,1,0,0,0,0,0,0,1
CIC0090,ESTRUTURAS DE DADOS,,3,13,0,3,0,0,0,0,2,5
FGA0146,ESTRUTURAS DE DADOS 1,,3,243,7,69,0,6,0,0,33,115
FGA0030,ESTRUTURAS DE DADOS 2,,1,137,4,12,0,6,0,0,5,27
FDD0272,ÉTICA E DIREITO,,1,1,0,0,0,0,0,0,0,0
FGA0320,FELICIDADE,,1,131,4,0,0,0,0,0,10,14
IFD0171,FISICA 1,,15,198,13,49,0,9,0,0,42,113
IFD0173,FISICA 1 EXPERIMENTAL,,20,156,2,10,0,2,0,0,7,21
IFD0175,FISICA 2,,3,3,0,1,0,1,0,0,0,2
IFD0177,FISICA 2 EXPERIMENTAL,,1,1,0,0,0,0,0,0,0,0
FGA0169,FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO,,1,23,1,4,0,0,0,0,0,5
IGD0167,FUNDAMENTOS DA HISTÓRIA DA TERRA,,1,1,0,1,0,0,0,0,0,1
FGA0142,FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,,2,255,10,49,0,11,0,0,13,83
FGA0117,FUNDAMENTOS DE ENERGIA NUCLEAR,,1,3,0,0,0,0,0,0,1,1
FGA0211,FUNDAMENTOS DE REDES DE COMPUTADORES,,2,154,4,4,0,4,0,0,3,15
FGA0109,FUNDAMENTOS DE SISTEMAS EMBARCADOS,,1,81,4,6,0,0,0,0,2,12
FGA0170,FUNDAMENTOS DE SISTEMAS OPERACIONAIS,,1,101,1,6,0,3,0,0,4,14
IFD0011,FUNDAMENTOS MATEMÁTICOS DA FÍSICA A,,1,1,0,0,0,0,0,0,1,1
CIC0002,FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO,,2,2,0,0,0,0,0,0,0,0
MAT0111,GEOMETRIA 1,,1,1,0,1,0,0,0,0,0,1
FGA0317,GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE,,1,81,3,5,0,0,0,0,2,10
FGA0141,GESTÃO AMBIENTAL NO SETOR ENERGÉTICO,,1,1,1,0,0,0,0,0,0,1
FGA0195,GESTÃO DA PRODUÇÃO AUTOMOTIVA,,1,9,0,2,0,0,0,0,1,3
FGA0184,GESTÃO DA PRODUÇÃO E QUALIDADE,,2,155,3,5,0,2,0,0,6,16
FGA0164,HUMANIDADES E CIDADANIA,,4,279,9,14,0,10,0,0,24,57
FMD0136,IMUNOLOGIA MÉDICA,,1,1,0,1,0,0,0,0,0,1
CIC0142,INFORMATICA E SOCIEDADE,,1,1,0,0,0,0,0,0,0,0
FGA0221,INTELIGÊNCIA ARTIFICIAL,,1,41,1,5,0,0,0,0,2,8
FGA0173,INTERAÇÃO HUMANO COMPUTADOR,,3,137,4,1,0,3,0,0,10,18
MAT0031,INTRODUCAO A ALGEBRA LINEAR,,9,222,14,41,0,14,0,0,14,83
DAN0022,INTRODUÇÃO À ANTROPOLOGIA,,1,1,1,0,0,0,0,0,0,1
GEM0049,INTRODUCAO A BIOLOGIA EVOLUTIVA,,1,1,0,0,0,1,0,0,0,1
CEL0091,INTRODUÇÃO A BIOTECNOLOGIA,,1,3,0,0,0,0,0,0,0,0
POL0011,INTRODUÇÃO À CIÊNCIA POLÍTICA,,1,1,0,0,0,0,0,0,0,0
CCA0103,INTRODUÇÃO À CONTABILIDADE,,1,1,0,0,0,1,0,0,0,1
ECO0019,INTRODUÇÃO À ECONOMIA,,4,6,0,2,0,0,0,0,0,2
FGA0163,INTRODUÇÃO À ENGENHARIA,,3,16,3,0,0,1,0,0,3,7
CIC0191,INTRODUÇÃO AO DESENVOLVIMENTO DE JOGOS,,1,4,0,1,0,0,0,0,2,3
FGA0155,INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS,,1,2,0,0,0,0,0,0,1,1
FDD0006,INTRODUÇÃO AO DIREITO 1,,1,1,0,1,0,0,0,0,0,1
HIS0084,INTRODUÇÃO AO ESTUDO DA HISTÓRIA,,1,1,0,1,0,0,0,0,0,1
IRI0013,INTRODUÇÃO AO ESTUDO DAS RELAÇÕES INTERNACIONAIS,,1,2,1,0,0,0,0,0,0,1
SOL0042,INTRODUÇÃO À SOCIOLOGIA,,1,2,0,0,0,0,0,0,0,0
LET0073,JAPONES 1,,1,1,0,0,0,0,0,0,0,0
CEN0007,LABORATÓRIO DE CRIAÇÃO CÊNICO-MUSICAL,,1,1,0,0,0,0,0,0,0,0
ENE0040,LABORATÓRIO DE SISTEMAS DIGITAIS,,1,1,0,0,0,0,0,0,0,0
LIP0061,LATIM 1,,1,1,0,1,0,0,0,0,0,1
FDD0141,LEGISLAÇÃO TRIBUTÁRIA,,1,1,0,0,0,0,0,0,0,0
ADM0367,LGBT NAS ORGANIZAÇÕES,,1,1,0,0,0,0,0,0,0,0
LET0103,LINGUA ALEMA 3,,1,1,0,0,0,0,0,0,0,0
LIP0174,LÍNGUA DE SINAIS BRASILEIRA - BÁSICO,,3,3,0,0,0,0,0,0,2,2
MUS0097,LINGUAGEM E ESTRUTURAÇÃO MUSICAL 1,,1,1,0,0,0,0,0,0,0,0
FIL0179,LÓGICA,,1,1,0,1,0,0,0,0,0,1
MAT0023,MATEMATICA 2,,1,1,0,0,0,1,0,0,0,1
FGA0085,MATEMÁTICA DISCRETA 1,,2,241,10,99,0,14,0,0,10,133
FGA0108,MATEMÁTICA DISCRETA 2,,3,234,8,38,0,8,0,0,19,73
CCA0153,MATEMÁTICA FINANCEIRA APLICADA ÀS CIÊNCIAS CONTÁBEIS,,1,1,0,0,0,0,0,0,1,1
IFD0069,MECÂNICA,,1,1,0,0,0,1,0,0,0,1
FGA0154,MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,,3,7,0,1,0,1,0,0,2,4
FGA0045,MECÂNICA DO VÔO,,1,1,0,0,0,0,0,0,0,0
FGA0312,MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,,3,197,7,13,0,3,0,0,6,29
ECL0017,METODOS EM BIOLOGIA 1,,1,1,0,0,0,0,0,0,1,1
FGA0160,MÉTODOS NUMÉRICOS PARA ENGENHARIA,,2,97,3,5,0,0,0,0,5,13
FGA0259,MODELAGEM DE SISTEMAS BIOLÓGICOS,,1,1,0,0,0,0,0,0,1,1
CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,1,1,0,0,0,1,0,0,0,1
FDD0155,NOÇÕES DE DIREITO,,1,1,0,0,0,0,0,0,1,1
FGA0158,ORIENTAÇÃO A OBJETOS,,4,202,5,16,0,8,0,0,6,35
FGA0210,PARADIGMAS DE PROGRAMAÇÃO,,1,49,1,0,0,0,0,0,2,3
CEM0117,PENSAMENTO LGBT BRASILEIRO,,1,1,0,1,0,0,0,0,0,1
COM0146,PESQUISA EM OPINIÃO E MERCADO,,1,1,0,0,0,0,0,0,1,1
FGA0071,PRÁTICA DE ELETRÔNICA DIGITAL 1,,14,176,3,12,0,1,0,0,8,24
FGA0072,PRÁTICA DE ELETRÔNICA DIGITAL 2,,1,1,0,0,0,0,0,0,0,0
FEF0107,PRATICA DESPORTIVA 2,,4,5,0,0,0,0,0,0,1,1
CEM0142,PRÁTICA DESPORTIVA  FUTMANOBOL,,1,1,0,0,0,0,0,0,0,0
LET0072,PRATICA DO JAPONES ORAL E ESCRITO 1,,1,1,0,0,0,0,0,0,0,0
CIC0256,PRÁTICA EXTENSIONISTA EM COMPUTAÇÃO A,,1,1,0,0,0,0,0,0,0,0
EST0023,PROBABILIDADE E ESTATÍSTICA,,5,8,0,5,0,0,0,0,1,6
FGA0157,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,,2,153,3,5,0,3,0,0,2,13
LIP0106,PROCESSOS DE LEITURA E ESCRITA,,1,1,1,0,0,0,0,0,0,1
FGA0274,PRODUTIVIDADE E PROFISSIONALISMO EM ENGENHARIA DE SOFTWARE,,1,7,0,0,0,0,0,0,0,0
FGA0244,PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS,,2,112,4,30,0,8,0,0,6,48
FGA0124,PROJETO DE ALGORITMOS,,1,129,2,0,0,6,0,0,8,16
