Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
FGA0168,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,,6,235,3,71,0,2,0,0,30,106
FGA0084,DESENVOLVIMENTO DE SOFTWARE,,1,69,1,5,0,2,0,0,4,12
DIN0002,DESIGN DE JOGOS,,1,3,0,0,0,0,0,0,0,0
FGA0265,ECONOMIA DE ENERGIA,,1,17,0,1,0,2,0,0,2,5
FUP0181,EDUCAÇÃO FINANCEIRA,,1,1,0,0,0,1,0,0,0,1
FGA0166,ELEMENTOS E MÉTODOS EM ELETRÔNICA,,1,5,0,1,0,0,0,0,2,3
FTD0010,EMPREENDEDORISMO E INOVAÇÃO TECNOLÓGICA,,1,3,0,0,0,0,0,0,1,1
FGA0284,ENGENHARIA DE MANUTENÇÃO,,1,1,0,0,0,0,0,0,0,0
FGA0206,ENGENHARIA DE PRODUTO DE SOFTWARE,,1,50,2,17,0,0,0,0,2,21
FGA0148,ENGENHARIA DE SEGURANÇA DO TRABALHO,,2,89,0,1,0,0,0,0,3,4
FGA0131,ENGENHARIA DE SOFTWARE AUTOMOTIVO,,1,4,0,2,0,0,0,0,2,4
FGA0275,ENGENHARIA DE SOFTWARE EXPERIMENTAL,,1,26,3,0,0,3,0,0,8,14
FGA0161,ENGENHARIA E AMBIENTE,,3,223,3,45,0,11,0,0,4,63
EPR0064,ENGENHARIA ECONÔMICA,,1,1,0,0,0,1,0,0,0,1
FGA0133,ENGENHARIA ECONÔMICA,,3,195,4,16,0,14,0,0,8,42
FGA0147,ESTRUTURA DE DADOS E ALGORITMOS,,3,251,12,61,0,28,0,0,38,139
CIC0090,ESTRUTURAS DE DADOS,,3,13,1,3,0,0,0,0,0,4
FGA0030,ESTRUTURAS DE DADOS 2,,2,162,12,70,0,15,0,0,26,123
FIL0180,FILOSOFIA ANTIGA,,1,1,0,1,0,0,0,0,0,1
CEM0012,FILOSOFIA CLÁSSICA,,1,1,0,1,0,0,0,0,0,1
CCA0126,FINANÇAS PESSOAIS,,1,1,0,0,0,0,0,0,0,0
IFD0171,FISICA 1,,17,192,6,37,0,17,0,0,34,94
IFD0173,FISICA 1 EXPERIMENTAL,,20,168,9,17,0,4,0,0,11,41
IFD0175,FISICA 2,,1,1,0,1,0,0,0,0,0,1
IFD0177,FISICA 2 EXPERIMENTAL,,1,1,0,0,0,0,0,0,0,0
FGA0169,FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO,,1,17,2,1,0,0,0,0,3,6
FGA0142,FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,,2,166,4,32,0,6,0,0,8,50
IFD0340,FUNDAMENTOS DE FÍSICA,,1,1,1,0,0,0,0,0,0,1
FGA0211,FUNDAMENTOS DE REDES DE COMPUTADORES,,1,79,2,14,0,1,0,0,5,22
FGA0109,FUNDAMENTOS DE SISTEMAS EMBARCADOS,,2,120,7,24,0,0,0,0,18,49
FGA0170,FUNDAMENTOS DE SISTEMAS OPERACIONAIS,,2,133,2,13,0,4,0,0,4,23
CIC0002,FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO,,2,2,0,0,0,2,0,0,0,2
MAT0010,GEOMETRIA ANALÍTICA PARA MATEMÁTICA,,1,1,0,0,0,0,0,0,0,0
FGA0240,GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE,,1,77,2,13,0,0,0,0,5,20
FGA0195,GESTÃO DA PRODUÇÃO AUTOMOTIVA,,1,9,0,0,0,0,0,0,1,1
FGA0184,GESTÃO DA PRODUÇÃO E QUALIDADE,,2,138,0,1,0,0,0,0,6,7
FGA0164,HUMANIDADES E CIDADANIA,,4,207,10,10,0,11,0,0,23,54
FGA0181,INOVAÇÃO,,1,13,0,0,0,4,0,0,2,6
FDD0004,INSTITUIÇÕES DE DIREITO PÚBLICO E PRIVADO,,1,1,1,0,0,0,0,0,0,1
CEM0083,INTEGRAÇÃO NO MERCOSUL,,1,1,0,0,0,1,0,0,0,1
FGA0221,INTELIGÊNCIA ARTIFICIAL,,1,34,1,2,0,3,0,0,6,12
FGA0173,INTERAÇÃO HUMANO COMPUTADOR,,2,108,2,1,0,0,0,0,1,4
ADM0023,INTRODUÇÃO À ADMINISTRAÇÃO,,3,4,2,1,0,0,0,0,0,3
MAT0031,INTRODUCAO A ALGEBRA LINEAR,,11,253,13,51,0,2,0,0,21,87
DAN0022,INTRODUÇÃO À ANTROPOLOGIA,,1,1,0,0,0,1,0,0,0,1
FTD0007,INTRODUCAO A ATIVIDADE EMPRESARIAL,,3,8,0,0,0,1,0,0,3,4
POL0011,INTRODUÇÃO À CIÊNCIA POLÍTICA,,1,1,0,1,0,0,0,0,0,1
CCA0103,INTRODUÇÃO À CONTABILIDADE,,2,2,1,0,0,0,0,0,0,1
ECO0019,INTRODUÇÃO À ECONOMIA,,2,4,1,0,0,0,0,0,0,1
FGA0163,INTRODUÇÃO À ENGENHARIA,,3,194,4,6,0,10,0,0,1,21
FTD0021,INTRODUÇÃO À ENGENHARIA MECATRÔNICA,,1,1,0,0,0,1,0,0,0,1
FIL0069,INTRODUÇÃO À FILOSOFIA,,1,1,0,0,0,0,0,0,0,0
FGA0125,INTRODUÇÃO À GEOMETRIA ANALÍTICA,,2,8,0,1,0,1,0,0,3,5
CIC0135,INTRODUCAO A INTELIGENCIA ARTIFICIAL,,1,1,0,0,0,0,0,0,1,1
LIP0045,INTRODUÇÃO À LINGUÍSTICA,,1,1,0,0,0,0,0,0,0,0
CIC0191,INTRODUÇÃO AO DESENVOLVIMENTO DE JOGOS,,1,5,0,0,0,0,0,0,2,2
FGA0155,INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS,,1,3,0,1,0,0,0,0,0,1
HIS0084,INTRODUÇÃO AO ESTUDO DA HISTÓRIA,,1,1,0,1,0,0,0,0,0,1
DAP0098,INTRODUÇÃO A PUBLICIDADE E PROPAGANDA,,1,1,1,0,0,0,0,0,0,1
TEL0014,INTRODUCAO A TEORIA DA LITERATURA,,1,1,0,0,0,0,0,0,0,0
MAT0080,INTRODUCAO A TEORIA DOS GRAFOS,,1,1,0,0,0,0,0,0,0,0
MUS0087,LABORATÓRIO DE MÚSICA E TECNOLOGIA,,1,1,0,0,0,0,0,0,1,1
FGA0107,LABORATÓRIO DE ONDULATÓRIA E FÍSICA TÉRMICA PARA A ENGENHARIA,,1,1,0,0,0,0,0,0,0,0
ENE0040,LABORATÓRIO DE SISTEMAS DIGITAIS,,3,3,0,0,0,0,0,0,1,1
LIP0174,LÍNGUA DE SINAIS BRASILEIRA - BÁSICO,,3,3,1,0,0,0,0,0,0,1
FGA0085,MATEMÁTICA DISCRETA 1,,2,208,13,70,0,11,0,0,13,107
FGA0108,MATEMÁTICA DISCRETA 2,,1,109,1,18,0,6,0,0,3,28
FGA0039,MECÂNICA DE ESTRUTURAS AEROESPACIAIS,,1,1,0,0,0,0,0,0,0,0
FGA0154,MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,,2,3,0,0,0,0,0,0,1,1
DPG0478,METODOLOGIA DE PESQUISA E REDAÇÃO CIENTÍFICA,,1,1,0,0,0,0,0,0,0,0
FGA0138,MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,,4,186,6,29,0,2,0,0,15,52
FGA0160,MÉTODOS NUMÉRICOS PARA ENGENHARIA,,3,88,2,9,0,5,0,0,11,27
CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,1,1,0,0,0,0,0,0,0,0
FDD0155,NOÇÕES DE DIREITO,,1,1,0,0,0,0,0,0,0,0
NUT0054,NUTRICAO HUMANA 1,,1,2,0,0,0,0,0,0,0,0
DAP0096,OFICINA BÁSICA DE AUDIOVISUAL,,1,1,1,0,0,0,0,0,0,1
JOR0058,OFICINA DE TEXTO 1,,1,1,1,0,0,0,0,0,0,1
PAD0028,ORGANIZAÇÃO DA EDUCAÇÃO BRASILEIRA,,1,1,0,0,0,1,0,0,0,1
FGA0158,ORIENTAÇÃO A OBJETOS,,4,227,9,68,0,1,0,0,10,88
FGA0210,PARADIGMAS DE PROGRAMAÇÃO,,1,45,1,0,0,0,0,0,2,3
FGA0069,PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,,1,1,0,0,0,0,0,0,1,1
FGA0071,PRÁTICA DE ELETRÔNICA DIGITAL 1,,14,170,2,18,0,9,0,0,7,36
FGA0072,PRÁTICA DE ELETRÔNICA DIGITAL 2,,1,1,0,0,0,1,0,0,0,1
HIS0028,PRÁTICA DE PESQUISA HISTÓRICA,,1,1,0,0,0,1,0,0,0,1
FEF0505,PRÁTICA DESPORTIVA 1,,1,1,0,0,0,0,0,0,0,0
CEM0142,PRÁTICA DESPORTIVA  FUTMANOBOL,,1,4,0,0,0,0,0,0,0,0
EST0023,PROBABILIDADE E ESTATÍSTICA,,6,6,1,2,0,1,0,0,0,4
FGA0157,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,,2,171,6,3,0,0,0,0,1,10
FGA0219,PROCESSAMENTO DE SINAIS,,1,1,0,0,0,0,0,0,1,1
FGA0244,PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS,,1,76,0,7,0,0,0,0,0,7
FGA0124,PROJETO DE ALGORITMOS,,1,86,4,2,0,3,0,0,7,16
CIC0189,PROJETO E ANÁLISE DE ALGORITMOS,,1,2,1,0,0,0,0,0,0,1
FGA0150,PROJETO INTEGRADOR DE ENGENHARIA 1,,5,135,1,3,0,0,0,0,4,8
FGA0250,PROJETO INTEGRADOR DE ENGENHARIA 2,,5,72,1,0,0,0,0,0,0,1
CEM0051,PROMOÇÃO DA SAÚDE 3,,2,63,1,6,0,0,0,0,1,8
FGA0278,QUALIDADE DE SOFTWARE 1,,2,82,2,1,0,1,0,0,2,6
IQD0126,QUIMICA GERAL EXPERIMENTAL,,8,11,0,5,0,1,0,0,2,8
IQD0125,QUIMICA GERAL TEORICA,,5,12,1,2,0,0,0,0,2,5
CIC0124,REDES DE COMPUTADORES,,2,4,0,0,0,1,0,0,0,1
FGA0172,REQUISITOS DE SOFTWARE,,3,128,4,6,0,0,0,0,5,15
MAT0087,SEMINARIO TOPICOS ESPECIAIS,,1,1,0,0,0,0,0,0,0,0
FGA0008,SISTEMAS AEROESPACIAIS,,1,1,0,0,0,0,0,0,0,0
FGA0167,SISTEMAS AUTOMOTIVOS,,1,12,0,0,0,1,0,0,5,6
FGA0137,SISTEMAS DE BANCO DE DADOS 1,,2,118,3,13,0,13,0,0,7,36
FGA0060,SISTEMAS DE BANCO DE DADOS 2,,1,49,1,1,0,5,0,0,8,15
FGA0118,SISTEMAS DE INFORMAÇÃO GEOGRÁFICA PARA ENGENHARIA,,1,1,1,0,0,0,0,0,0,1
ENE0039,SISTEMAS DIGITAIS,,1,2,0,1,0,0,0,0,1,2
FGA0103,SISTEMAS OPERACIONAIS EMBARCADOS,,1,5,0,0,0,0,0,0,2,2
FGA0242,TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES,,1,49,3,2,0,0,0,0,0,5
CDT1101,TECNOLOGIA SOCIAL E INOVAÇÃO,,1,1,0,0,0,0,0,0,1,1
FGA0073,TEORIA DE ELETRÔNICA DIGITAL 1,,2,173,2,35,0,15,0,0,5,57
FGA0074,TEORIA DE ELETRÔNICA DIGITAL 2,,1,1,0,0,0,1,0,0,0,1
MAT0038,TEORIA DOS NÚMEROS 1,,2,33,2,14,0,3,0,0,2,21
DSC0094,TERAPIAS COMUNITÁRIAS E PRÁTICAS INTEGRATIVAS,,1,12,0,0,0,0,0,0,2,2
IFD0420,TERMODINÂMICA,,1,1,0,0,0,0,0,0,0,0
FGA0238,TESTES DE SOFTWARE,,2,151,4,4,0,5,0,0,1,14
CIC0087,TOPICOS AVANCADOS EM COMPUTADORES,,1,1,0,1,0,0,0,0,0,1
ADM0316,TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 2,,1,1,0,0,0,0,0,0,0,0
PPB0007,TÓPICOS EM COGNIÇÃO,,1,1,0,0,0,0,0,0,0,0
PED0057,TOPICOS EM PSICOLOGIA DO DESENVOLVIMENTO,,1,13,0,0,0,0,0,0,4,4
FGA0105,TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,,1,1,0,1,0,0,0,0,0,1
FGA0134,TÓPICOS ESPECIAIS DE ENGENHARIA DE SOFTWARE,,2,196,5,13,0,4,0,0,14,36
JOR0107,TÓPICOS ESPECIAIS EM COMUNICAÇÃO 1,,1,1,0,0,0,0,0,0,0,0
FGA0261,TÓPICOS ESPECIAIS EM ELETRONICA,,1,2,2,0,0,0,0,0,0,2
FGA0054,TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,,1,59,4,1,0,0,0,0,6,11
FGA0053,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,,2,94,3,9,0,7,0,0,28,47
DSC0172,VIGILÂNCIA EPIDEMIOLÓGICA PARTICIPATIVA,,4,243,8,2,0,0,0,0,1,11
Total:,,,327,7369,232,1110,0,316,0,0,547,2205
