Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
ADM0014,ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL,,1,1,0,0,0,0,0,0,0,0
FGA0038,AERODINÂMICA DE SISTEMAS AEROESPACIAIS,,1,1,0,0,0,0,0,0,1,1
FUP0545,AGRICULTURA E MEIO AMBIENTE,,1,1,0,1,0,0,0,0,0,1
FUP0161,AGROECOLOGIA,,1,1,0,0,0,1,0,0,0,1
MAT0039,ALGEBRA LINEAR,,1,1,0,0,0,0,0,0,0,0
CIC0004,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES,,6,249,2,71,0,26,0,0,19,118
FGA0083,APRENDIZADO DE MÁQUINA,,1,35,3,2,0,3,0,0,15,23
FGA0208,ARQUITETURA E DESENHO DE SOFTWARE,,1,80,1,2,0,2,0,0,0,5
FDD0258,ATUALIZAÇÃO E PRÁTICA DO DIREITO 5,,1,1,0,0,0,0,0,0,1,1
FUP0561,"AUDITORIA, PERÍCIA E CERTIFICAÇÃO AMBIENTAL",,1,1,0,1,0,0,0,0,0,1
CIC0097,BANCOS DE DADOS,,1,1,0,0,0,0,0,0,0,0
MAT0025,CÁLCULO 1,,8,306,5,103,0,29,0,0,12,149
MAT0137,CÁLCULO 1 - SEMIPRESENCIAL,,4,5,1,1,0,1,0,0,1,4
MAT0026,CÁLCULO 2,,13,151,7,36,0,2,0,0,23,68
MAT0027,CÁLCULO 3,,2,5,0,1,0,0,0,0,0,1
ADM0192,CALCULO FINANCEIRO,,1,1,0,0,0,0,0,0,0,0
MUS0139,CANTO CORAL 1,,1,1,0,0,0,0,0,0,0,0
MUS0142,CANTO CORAL 2,,1,1,1,0,0,0,0,0,0,1
FGA0254,CIÊNCIAS AEROESPACIAIS,,1,1,0,0,0,0,0,0,0,0
FGA0095,"CODIFICAÇÃO E COMPRESSÃO DE SINAIS, IMAGENS E VÍDEO",,1,4,0,0,0,0,0,0,3,3
FGA0003,COMPILADORES 1,,2,72,2,22,0,5,0,0,7,36
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,,2,2,0,0,0,1,0,0,0,1
CCA0015,CONTABILIDADE GERAL 1,,1,1,1,0,0,0,0,0,0,1
EPR0014,CONTROLE ESTATÍSTICO DE PROCESSOS,,1,1,0,1,0,0,0,0,0,1
CEM0143,CRIATIVIDADE NA TEORIA E NA PRÁTICA,,1,2,0,0,0,0,0,0,0,0
VIS0063,DESENHO 1,,1,1,0,0,0,0,0,0,0,0
