Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
ADM0092,ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES,,1,1,0,0,0,0,0,0,0,0
MAT0034,ALGEBRA 1,,1,1,1,0,0,0,0,0,0,1
CIC0004,ALGORITMOS E PROGRAMAÇÃO DE COMPUTADORES,,7,185,8,4,0,1,0,0,0,13
FGA0013,ANATOMIA E FISIOLOGIA HUMANA,,1,1,0,0,0,0,0,0,0,0
FGA0083,APRENDIZADO DE MÁQUINA,,1,54,0,0,0,0,0,0,0,0
FGA0208,ARQUITETURA E DESENHO DE SOFTWARE,,1,120,1,0,0,2,0,0,0,3
CEM0145,"CAFE: CIÊNCIA, ARTE, FILOSOFIA E ESPIRITUALIDADE",,1,1,0,0,0,0,0,0,0,0
MAT0025,CÁLCULO 1,,5,171,14,10,0,5,0,0,0,29
MAT0137,CÁLCULO 1 - SEMIPRESENCIAL,,2,3,0,1,0,0,0,0,0,1
MAT0026,CÁLCULO 2,,12,110,6,6,0,0,0,0,0,12
MAT0027,CÁLCULO 3,,2,8,0,0,0,0,0,0,0,0
MAT0053,CALCULO NUMERICO,,1,1,0,0,0,0,0,0,0,0
IQD0260,CÁLCULOS BÁSICOS DE QUÍMICA,,1,1,0,0,0,1,0,0,0,1
MUS0139,CANTO CORAL 1,,1,1,0,0,0,0,0,0,0,0
CIC0229,CIRCUITOS LÓGICOS,,1,1,0,0,0,0,0,0,0,0
FGA0003,COMPILADORES 1,,2,113,6,5,0,1,0,0,0,12
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,,1,1,1,0,0,0,0,0,0,1
JOR0001,"COMUNICAÇÃO, INFORMAÇÃO E COMPUTAÇÃO : FUNDAMENTOS E APLICAÇÃO",,1,1,0,0,0,0,0,0,0,0
CEM0005,DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR,,1,1,1,0,0,0,0,0,0,1
VIS0063,DESENHO 1,,1,1,1,0,0,0,0,0,0,1
FGA0168,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR,,6,148,5,7,0,0,0,0,0,12
PED0007,"DESENVOLVIMENTO, APRENDIZAGEM E INTERAÇÕES VIRTUAIS",,1,1,1,0,0,0,0,0,0,1
FGA0084,DESENVOLVIMENTO DE SOFTWARE,,1,54,0,0,0,0,0,0,0,0
FGA0174,DESENVOLVIMENTO SUSTENTÁVEL,,1,6,1,0,0,0,0,0,0,1
FCE0192,DO ÁTOMO À CÉLULA,,1,1,1,0,0,0,0,0,0,1
FGA0265,ECONOMIA DE ENERGIA,,1,10,1,0,0,2,0,0,0,3
FGA0166,ELEMENTOS E MÉTODOS EM ELETRÔNICA,,1,2,0,0,0,0,0,0,0,0
FGA0206,ENGENHARIA DE PRODUTO DE SOFTWARE,,2,83,2,5,0,0,0,0,0,7
FGA0148,ENGENHARIA DE SEGURANÇA DO TRABALHO,,2,88,5,0,0,1,0,0,0,6
FGA0131,ENGENHARIA DE SOFTWARE AUTOMOTIVO,,1,1,1,0,0,0,0,0,0,1
FGA0161,ENGENHARIA E AMBIENTE,,3,130,6,1,0,3,0,0,0,10
FGA0133,ENGENHARIA ECONÔMICA,,2,147,9,10,0,0,0,0,0,19
FCE0187,EPIDEMIOLOGIA DESCRITIVA,,1,1,1,0,0,0,0,0,0,1
CET0051,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - LAZER,,1,1,0,0,0,0,0,0,0,0
EST0019,ESTATÍSTICA APLICADA,,1,1,1,0,0,0,0,0,0,1
FGA0147,ESTRUTURA DE DADOS E ALGORITMOS,,3,121,14,4,0,13,0,0,0,31
