Código,Nome,Pólo,Turmas,Discentes,Cancelamentos,Reprovações Média,Reprovações Nota,Reprovações Falta,Reprovações Média e Falta,Reprovações Nota e Falta,Trancamentos,Total Insucesso
CIC0090,ESTRUTURAS DE DADOS,,4,21,1,0,0,3,0,0,0,4
FGA0030,ESTRUTURAS DE DADOS 2,,2,132,7,7,0,3,0,0,0,17
ENM0080,FENOMENOS DE TRANSPORTE,,1,1,0,0,0,0,0,0,0,0
FIL0177,FILOSOFIA MEDIEVAL,,1,1,0,0,0,0,0,0,0,0
IFD0171,FISICA 1,,13,94,13,2,0,1,0,0,0,16
IFD0173,FISICA 1 EXPERIMENTAL,,21,126,13,6,0,1,0,0,0,20
IFD0175,FISICA 2,,1,1,0,0,0,0,0,0,0,0
IFD0304,FISICA PARA DESENHO INDUSTRIAL,,1,1,1,0,0,0,0,0,0,1
FGA0169,FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO,,1,13,1,1,0,0,0,0,0,2
DIN0004,FOTOGRAFIA,,1,1,1,0,0,0,0,0,0,1
IFD0417,FRONTEIRAS DA FÍSICA,,1,1,1,0,0,0,0,0,0,1
FGA0142,FUNDAMENTOS DE ARQUITETURA DE COMPUTADORES,,1,78,4,3,0,1,0,0,0,8
FGA0211,FUNDAMENTOS DE REDES DE COMPUTADORES,,3,146,4,2,0,3,0,0,0,9
FGA0109,FUNDAMENTOS DE SISTEMAS EMBARCADOS,,1,63,5,3,0,0,0,0,0,8
FGA0170,FUNDAMENTOS DE SISTEMAS OPERACIONAIS,,1,114,5,4,0,1,0,0,0,10
CIC0002,FUNDAMENTOS TEÓRICOS DA COMPUTAÇÃO,,1,1,0,0,0,0,0,0,0,0
FGA0240,GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE,,1,58,2,1,0,0,0,0,0,3
FGA0141,GESTÃO AMBIENTAL NO SETOR ENERGÉTICO,,1,2,0,1,0,0,0,0,0,1
FGA0195,GESTÃO DA PRODUÇÃO AUTOMOTIVA,,1,2,0,0,0,0,0,0,0,0
FGA0184,GESTÃO DA PRODUÇÃO E QUALIDADE,,2,133,1,2,0,0,0,0,0,3
FDD0242,HISTÓRIA DO DIREITO,,1,1,0,0,0,0,0,0,0,0
FGA0164,HUMANIDADES E CIDADANIA,,4,175,12,0,0,5,0,0,0,17
FGA0221,INTELIGÊNCIA ARTIFICIAL,,1,18,1,4,0,0,0,0,0,5
FGA0173,INTERAÇÃO HUMANO COMPUTADOR,,3,139,2,1,0,2,0,0,0,5
ADM0023,INTRODUÇÃO À ADMINISTRAÇÃO,,5,6,1,0,0,0,0,0,0,1
MAT0031,INTRODUCAO A ALGEBRA LINEAR,,12,195,10,16,0,4,0,0,0,30
CIC0007,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,,2,2,0,0,0,0,0,0,0,0
ECO0019,INTRODUÇÃO À ECONOMIA,,2,2,1,0,0,0,0,0,0,1
FGA0163,INTRODUÇÃO À ENGENHARIA,,3,154,7,5,0,0,0,0,0,12
FUP0288,INTRODUÇÃO À ESTATÍSTICA,,1,1,0,0,0,1,0,0,0,1
FCE0062,INTRODUÇÃO À FARMÁCIA,,1,1,1,0,0,0,0,0,0,1
FIL0069,INTRODUÇÃO À FILOSOFIA,,1,1,0,0,0,0,0,0,0,0
CIC0152,INTRODUCAO A MICROINFORMATICA,,1,1,0,0,0,0,0,0,0,0
FGA0155,INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS,,1,2,1,1,0,0,0,0,0,2
FDD0006,INTRODUÇÃO AO DIREITO 1,,2,2,0,1,0,0,0,0,0,1
IRI0013,INTRODUÇÃO AO ESTUDO DAS RELAÇÕES INTERNACIONAIS,,1,1,1,0,0,0,0,0,0,1
MUS0562,INTRODUÇÃO AO SAXOFONE 1,,1,1,0,0,0,0,0,0,0,0
ENE0066,INTRODUÇÃO AOS CIRCUITOS ELÉTRICOS,,1,1,0,1,0,0,0,0,0,1
EST0069,INTRODUCAO A PROBABILIDADE,,1,1,1,0,0,0,0,0,0,1
PPB0014,INTRODUÇÃO À PSICOLOGIA,,2,2,1,0,0,0,0,0,0,1
SOL0042,INTRODUÇÃO À SOCIOLOGIA,,2,2,1,0,0,0,0,0,0,1
CIC0231,LABORATÓRIO DE CIRCUITOS LÓGICOS,,1,1,0,0,0,0,0,0,0,0
FGA0075,LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,,1,1,0,0,0,0,0,0,0,0
ENE0040,LABORATÓRIO DE SISTEMAS DIGITAIS,,1,1,0,0,0,0,0,0,0,0
LIP0061,LATIM 1,,1,1,0,0,0,0,0,0,0,0
LIP0174,LÍNGUA DE SINAIS BRASILEIRA - BÁSICO,,1,1,0,0,0,0,0,0,0,0
MAT0022,MATEMATICA 1,,1,1,0,0,0,0,0,0,0,0
FGA0085,MATEMÁTICA DISCRETA 1,,3,208,9,4,0,5,0,0,0,18
FGA0108,MATEMÁTICA DISCRETA 2,,1,52,8,7,0,4,0,0,0,19
FGA0154,MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA,,2,2,0,2,0,0,0,0,0,2
FGA0179,MECANICA DOS SÓLIDOS 2 PARA ENGENHARIA,,1,1,0,0,0,0,0,0,0,0
FGA0138,MÉTODOS DE DESENVOLVIMENTO DE SOFTWARE,,3,142,5,5,0,3,0,0,0,13
FGA0160,MÉTODOS NUMÉRICOS PARA ENGENHARIA,,3,85,2,1,0,0,0,0,0,3
CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,1,1,0,0,0,0,0,0,0,0
PAD0028,ORGANIZAÇÃO DA EDUCAÇÃO BRASILEIRA,,1,1,0,0,0,0,0,0,0,0
FCE0201,ORGANIZAÇÃO MORFOFUNCIONAL E DESENVOLVIMENTO HUMANO,,1,2,2,0,0,0,0,0,0,2
FGA0158,ORIENTAÇÃO A OBJETOS,,5,209,14,16,0,0,0,0,0,30
FGA0210,PARADIGMAS DE PROGRAMAÇÃO,,1,42,1,0,0,0,0,0,0,1
FDD0153,PESQUISA JURÍDICA,,1,1,0,0,0,0,0,0,0,0
FGA0120,PRÁTICA DE ELETROMAGNETISMO,,1,1,0,0,0,0,0,0,0,0
FGA0071,PRÁTICA DE ELETRÔNICA DIGITAL 1,,14,159,7,3,0,2,0,0,0,12
FGA0072,PRÁTICA DE ELETRÔNICA DIGITAL 2,,2,2,0,0,0,0,0,0,0,0
FEF0505,PRÁTICA DESPORTIVA 1,,4,4,1,0,0,1,0,0,0,2
CEM0142,PRÁTICA DESPORTIVA  FUTMANOBOL,,1,2,0,0,0,1,0,0,0,1
EST0023,PROBABILIDADE E ESTATÍSTICA,,4,6,1,2,0,0,0,0,0,3
FGA0157,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA,,2,170,3,6,0,0,0,0,0,9
FGA0380,PROCESSOS ESTOCÁSTICOS,,1,1,1,0,0,0,0,0,0,1
FGA0274,PRODUTIVIDADE E PROFISSIONALISMO EM ENGENHARIA DE SOFTWARE,,1,5,0,1,0,0,0,0,0,1
FGA0244,PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS,,1,47,1,0,0,2,0,0,0,3
FGA0124,PROJETO DE ALGORITMOS,,1,61,5,2,0,1,0,0,0,8
FGA0150,PROJETO INTEGRADOR DE ENGENHARIA 1,,5,113,1,5,0,0,0,0,0,6
FGA0250,PROJETO INTEGRADOR DE ENGENHARIA 2,,5,61,1,0,0,0,0,0,0,1
CEM0051,PROMOÇÃO DA SAÚDE 3,,1,53,0,4,0,0,0,0,0,4
PPB0017,PSICOLOGIA DA APRENDIZAGEM 1,,2,2,0,0,0,0,0,0,0,0
FGA0278,QUALIDADE DE SOFTWARE 1,,2,83,2,0,0,1,0,0,0,3
IQD0126,QUIMICA GERAL EXPERIMENTAL,,4,7,0,1,0,1,0,0,0,2
IQD0125,QUIMICA GERAL TEORICA,,3,5,1,2,0,0,0,0,0,3
CIC0124,REDES DE COMPUTADORES,,2,4,0,0,0,0,0,0,0,0
FGA0172,REQUISITOS DE SOFTWARE,,3,130,0,1,0,0,0,0,0,1
FCE0189,SEMINÁRIO INTEGRATIVO 1,,1,1,1,0,0,0,0,0,0,1
MAT0087,SEMINARIO TOPICOS ESPECIAIS,,1,3,0,0,0,0,0,0,0,0
FGA0102,SINAIS E SISTEMAS PARA ENGENHARIA,,1,1,0,0,0,0,0,0,0,0
LIP0131,SINTAXE DO PORTUGUES CONTEMPORANEO 1,,1,1,0,0,0,0,0,0,0,0
FGA0008,SISTEMAS AEROESPACIAIS,,1,1,0,0,0,0,0,0,0,0
FGA0167,SISTEMAS AUTOMOTIVOS,,1,3,2,1,0,0,0,0,0,3
FGA0137,SISTEMAS DE BANCO DE DADOS 1,,3,167,4,8,0,3,0,0,0,15
FGA0060,SISTEMAS DE BANCO DE DADOS 2,,1,63,0,2,0,0,0,0,0,2
ENE0039,SISTEMAS DIGITAIS,,1,2,0,1,0,0,0,0,0,1
FGA0103,SISTEMAS OPERACIONAIS EMBARCADOS,,1,1,0,0,0,0,0,0,0,0
ADM0021,SOCIOLOGIA APLICADA À ADMINISTRAÇÃO,,1,1,1,0,0,0,0,0,0,1
CIC0197,TECNICAS DE PROGRAMAÇÃO 1,,1,1,0,0,0,0,0,0,0,0
FGA0242,TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES,,1,77,0,4,0,0,0,0,0,4
FGA0119,TEORIA DE ELETROMAGNETISMO,,1,1,0,0,0,0,0,0,0,0
FGA0073,TEORIA DE ELETRÔNICA DIGITAL 1,,2,168,9,13,0,3,0,0,0,25
FGA0074,TEORIA DE ELETRÔNICA DIGITAL 2,,1,3,0,0,0,0,0,0,0,0
FGA0078,TEORIA DE MATERIAIS DE CONSTRUÇÃO,,1,1,0,0,0,0,0,0,0,0
MAT0038,TEORIA DOS NÚMEROS 1,,2,16,3,1,0,0,0,0,0,4
DSC0094,TERAPIAS COMUNITÁRIAS E PRÁTICAS INTEGRATIVAS,,2,10,1,0,0,0,0,0,0,1
FGA0238,TESTES DE SOFTWARE,,2,109,2,2,0,2,0,0,0,6
CIC0087,TOPICOS AVANCADOS EM COMPUTADORES,,1,2,1,0,0,0,0,0,0,1
ADM0020,TÓPICOS EM GESTÃO DA TECNOLOGIA,,1,1,1,0,0,0,0,0,0,1
FGA0121,TÓPICOS ESPECIAIS 4 EM ENGENHARIA AEROESPACIAL,,1,1,0,0,0,1,0,0,0,1
FGA0134,TÓPICOS ESPECIAIS DE ENGENHARIA DE SOFTWARE,,2,178,6,0,0,11,0,0,0,17
FGA0261,TÓPICOS ESPECIAIS EM ELETRONICA,,1,1,1,0,0,0,0,0,0,1
FGA0054,TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,,1,43,3,0,0,1,0,0,0,4
FGA0034,TÓPICOS ESPECIAIS EM MATEMÁTICA APLICADA,,1,14,0,0,0,0,0,0,0,0
FGA0053,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO,,1,29,1,6,0,1,0,0,0,8
SER0113,TRABALHO E SOCIABILIDADE,,1,1,0,0,0,0,0,0,0,0
DSC0172,VIGILÂNCIA EPIDEMIOLÓGICA PARTICIPATIVA,,1,373,12,9,0,0,0,0,0,21
Total:,,,304,6209,299,223,0,97,0,0,0,619
